#Longitude	Latitude	City
-90.533300	14.833330	45
-91.566670	14.833330	107
-92.266670	14.900000	136
-96.150000	19.183330	143
-106.480000	31.770000	36
-122.270000	37.800000	93
-122.430000	37.780000	119
-135.250000	57.170000	128
-134.400000	58.300000	56
-113.470000	53.570000	34
-97.120000	49.900000	149
-92.080000	46.820000	32
-83.020000	40.000000	26
-81.630000	38.350000	19
-79.950000	37.280000	112
-78.650000	35.770000	108
-77.480000	37.550000	111
-77.030000	38.880000	146
-75.970000	36.850000	145
-77.950000	34.230000	148
-79.930000	32.780000	18
-86.300000	32.350000	79
-86.830000	33.500000	11
-84.380000	33.750000	5
-83.930000	35.950000	61
-86.780000	36.170000	85
-85.770000	38.250000	69
-86.170000	39.770000	52
-85.133330	41.083330	41
-85.670000	42.970000	44
-90.466667	49.050000	138
-89.250000	48.383330	137
-81.570000	43.030000	66
-79.400000	43.670000	140
-78.830000	42.920000	15
-76.130000	43.030000	133
-73.580000	45.500000	83
-75.720000	45.400000	97
-76.500000	44.250000	59
-83.050000	42.330000	30
-89.630100	44.959100	88
-93.230000	44.980000	77
-119.820000	39.500000	109
-121.500000	38.580000	113
-121.880000	37.330000	120
-119.800000	36.730000	42
-118.250000	34.050000	68
-118.180000	33.770000	67
-117.170000	32.700000	118
-115.550000	32.630000	35
-101.830000	35.180000	3
-97.470000	35.430000	94
-97.280000	37.720000	147
-93.280000	37.220000	132
-95.980000	36.150000	141
-96.770000	32.770000	27
-97.320000	32.720000	40
-97.730000	30.270000	6
-98.550000	29.380000	117
-95.350000	29.750000	50
-89.616667	20.966670	73
-88.766670	17.250000	8
-99.883330	16.866670	0
-157.830000	21.300000	48
-165.500000	64.420000	92
-149.900000	61.220000	4
-109.720000	48.550000	46
-100.350000	44.370000	100
-93.620000	41.580000	29
-89.630000	39.800000	130
-89.589000	40.693600	81
-87.620000	41.830000	22
-90.670000	42.520000	31
-89.771000	43.627500	82
-87.920000	43.030000	76
-83.550000	41.650000	139
-71.180000	46.820000	106
-66.170000	45.300000	114
-67.000000	44.900000	33
-68.780000	44.800000	10
-70.250000	43.670000	102
-71.080000	42.350000	14
-71.500000	43.000000	70
-72.530000	44.250000	80
-73.750000	42.670000	1
-79.950000	40.450000	101
-84.500000	39.130000	23
-90.217900	38.009500	72
-90.200000	38.580000	115
-90.183300	38.633300	53
-96.670000	40.830000	65
-104.870000	41.150000	21
-105.000000	39.750000	28
-105.950000	35.680000	123
-106.650000	35.080000	2
-112.070000	33.480000	99
-111.680000	35.220000	39
-115.200000	36.170000	62
-112.080000	38.770000	110
-116.220000	43.600000	13
-117.830000	44.780000	7
-117.030000	46.400000	63
-117.430000	47.670000	129
-121.730000	42.170000	60
-123.080000	44.050000	37
-122.680000	45.520000	103
-122.330000	47.620000	125
-123.350000	48.420000	144
-123.100000	49.220000	142
-117.280000	49.500000	86
-114.020000	51.020000	16
-105.520000	50.620000	84
-81.620000	41.470000	24
-74.170000	40.730000	87
-73.970000	40.780000	91
-72.920000	41.320000	89
-71.400000	41.830000	104
-72.570000	42.100000	131
-75.170000	39.950000	98
-76.630000	39.300000	9
-80.830000	35.230000	20
-81.030000	34.000000	25
-90.050000	35.150000	71
-92.333330	34.733300	64
-93.050000	34.520000	49
-93.700000	32.470000	126
-97.866670	22.250000	135
-98.266670	19.050000	105
-99.133330	19.433330	74
-104.250000	32.430000	17
-108.550000	39.080000	43
-111.900000	40.770000	116
-112.020000	43.500000	51
-112.030000	46.580000	47
-100.780000	46.800000	12
-96.800000	46.870000	38
-96.730000	43.550000	127
-95.930000	41.250000	95
-94.580000	39.100000	57
-90.200000	32.330000	54
-90.070000	29.950000	90
-88.050000	30.700000	78
-81.800000	24.550000	58
-80.200000	25.770000	75
-82.450000	27.950000	134
-81.300000	28.416667	96
-81.670000	30.370000	55
-81.080000	32.080000	124
-66.170000	18.500000	121
-89.183330	13.683330	122
-90.533300	14.833330	45
