#longitude	latitude	city
18.483300	54.683300	1323
16.583300	53.716700	1342
17.383300	52.483300	766
17.498300	52.744500	785
18.900800	53.684600	925
19.742000	54.090500	53
19.880800	53.839000	1720
20.428300	53.917900	811
20.475600	54.148400	753
20.666300	52.937200	899
21.799500	53.144200	2041
22.433300	53.100000	1542
21.206900	52.822700	1786
20.411400	52.600900	1694
19.261300	53.053500	255
18.913200	52.732800	1151
20.463900	52.266600	826
20.350000	52.083300	1753
19.972800	52.026400	208
20.480600	51.939400	1207
20.187900	50.991300	1166
20.739800	50.508800	525
20.818200	50.239900	1995
20.566700	50.450000	912
20.450000	50.050000	613
20.660700	49.853200	1868
21.005900	49.727300	187
21.157300	50.379400	2057
21.683300	50.283300	1858
20.331900	49.930500	966
20.166700	50.016700	365
20.186400	50.217000	1264
19.433300	50.166700	1992
19.233300	50.466700	1697
20.013700	51.132200	1965
20.907800	51.669300	1429
21.150000	51.833300	647
21.355500	52.191200	491
21.295300	51.663300	1102
22.220600	52.167800	752
22.573000	51.705800	2002
26.707400	53.509200	2042
27.391700	53.839700	1330
24.483300	55.633300	815
24.441700	55.708300	1335
22.777500	55.428900	1250
21.633300	55.666700	1535
21.933300	56.533300	1266
24.376900	58.715300	1933
24.388900	58.511400	976
28.465400	56.295500	1653
27.416700	56.700000	1517
30.910900	56.045900	1830
30.595300	56.398200	173
29.828400	59.660000	850
28.810800	61.157500	765
29.808300	60.718900	1520
29.725300	60.519600	894
27.786100	62.173000	923
28.600000	61.900000	818
27.683300	60.566700	1450
25.900000	60.383300	919
24.887800	60.428900	901
24.433300	60.483300	1174
24.816700	60.280000	1361
25.073900	60.266100	707
25.095600	59.125600	874
23.666700	61.133300	1242
23.350000	61.466700	1712
22.250000	61.616700	971
21.916700	61.083300	1713
21.400000	60.766700	1779
22.733300	60.583300	1806
22.366700	60.366700	875
20.033300	60.250000	688
17.216700	60.683300	222
14.183300	61.150000	207
11.664400	62.102400	1730
17.850000	63.933300	703
22.300000	63.200000	1860
21.666700	62.716700	1767
23.050000	62.116700	959
23.933300	62.166700	1476
23.800000	61.883300	838
27.983300	64.400000	1148
29.100000	64.483300	849
26.550000	65.516700	755
25.416700	64.933300	1326
18.883300	64.816700	1539
18.250000	65.016700	170
16.766700	64.416700	1934
11.133300	63.200000	904
9.650000	61.650000	1017
5.933300	61.666700	623
5.400400	61.363500	433
5.400000	60.333300	709
-6.700000	61.400000	1777
-1.383300	60.266700	16
5.766700	60.016700	672
5.745300	59.863800	746
5.172300	59.792800	1782
5.250000	59.483300	206
5.298500	59.376500	839
6.333300	58.533300	192
9.200000	59.016700	1715
9.955100	56.894700	616
11.983300	57.633300	114
11.683300	57.983300	471
9.450000	59.850000	573
9.827100	59.511300	890
13.233300	59.583300	1837
14.272000	59.531800	1762
14.133300	58.383300	574
13.800000	58.233300	917
13.250000	57.116700	249
16.616700	56.850000	228
14.816700	55.166700	880
15.699500	54.194100	1887
15.298500	53.939800	1435
15.842300	53.296100	423
14.546500	53.473300	1964
14.411700	53.362700	141
14.283300	52.650000	1696
14.433300	52.666700	866
14.781300	52.643400	823
15.422200	52.012000	424
14.966700	51.933300	1783
15.030800	51.814000	1087
15.213100	51.634700	1108
15.475100	51.704200	363
14.900000	51.683300	1265
14.216700	51.650000	488
13.616700	52.366700	510
13.000000	52.466700	1631
12.600000	51.833300	993
13.133300	51.516700	73
13.366700	51.116700	142
13.444400	50.900000	209
13.533300	51.000000	1394
12.633300	50.783300	1749
11.933300	50.183300	1161
12.283300	49.933300	472
12.066700	49.633300	1969
12.350000	49.433300	1358
11.416700	49.550000	870
11.416700	49.200000	1515
11.933300	49.033300	1400
11.716700	48.883300	954
12.816700	49.083300	674
11.800000	48.666700	1025
11.683300	48.533300	449
11.583300	48.466700	1640
11.766700	47.883300	1880
11.283300	47.783300	1254
11.233300	47.883300	825
10.613600	47.930000	1364
10.250000	47.866700	2049
9.750000	47.983300	723
8.883300	48.483300	1498
9.116700	48.233300	587
9.533300	47.683300	615
9.150000	47.733300	468
